state	sample	success	sim_endpoints	sim_t_step	f_art0	f_art1	f_art2	f_art3	f_art4	f_art5	f_art6	f_prep0	f_prep1	f_prep2	f_prep3	f_prep4	f_prep5	f_prep6	k_art0	k_art1	k_art2	k_art3	k_art4	k_art5	k_art6	k_prep0	k_prep1	k_prep2	k_prep3	k_prep4	k_prep5	k_prep6	n_msm0	n_msm1	n_msm2	n_msm3	n_msm4	n_msm5	n_msm6
Baden-Württemberg	27	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1343.1398900252923	1259.5883921939344	1251.2694520457346	1240.202727817688	1232.011820114593	1218.362049204558	1210.4035234769183	0.0	0.0	320.9927488112105	438.6542354759739	265.7998742814058	750.0582527172646	767.5999553314925	-7.281755071732152e-05	-7.281755071732152e-05	-7.281755071732152e-05	-7.281755071732152e-05	-7.281755071732152e-05	-7.281755071732152e-05	-7.281755071732152e-05	0	0.00047929198207960244	0.00013654425708562395	-0.0002675209203433003	0.000459771724064356	2.9765575589217155e-05	0.00014701143765079175	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	28	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1341.4432070063713	1222.0484321326612	1210.351494301418	1194.845358044238	1183.4087966907712	1164.4265002890224	1153.4029909412816	0.0	0.0	353.9552378147821	455.31869664637327	369.4037332332649	833.3647908177761	892.9033417586021	-0.0001056888448132709	-0.0001056888448132709	-0.0001056888448132709	-0.0001056888448132709	-0.0001056888448132709	-0.0001056888448132709	-0.0001056888448132709	0	0.0005301587246669572	0.00011819401762959794	-0.00013450760555389679	0.00044876312529523895	0.00010326587307976123	0.00012141241557307383	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	29	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1344.8903976468048	1232.7206066865165	1221.6937767615193	1207.0651584433506	1196.267819501868	1178.3313156640427	1167.9063179980533	0.0	0.0	338.80344430924026	424.3129335527086	347.40985655164934	795.3718783893613	799.0154485892363	-9.874027083775926e-05	-9.874027083775926e-05	-9.874027083775926e-05	-9.874027083775926e-05	-9.874027083775926e-05	-9.874027083775926e-05	-9.874027083775926e-05	0	0.0005067371535394636	9.92635322370809e-05	-0.00011978315968759923	0.0004306657282268107	6.232226185137994e-06	0.00020608212025811554	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	30	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1342.4174497709569	1246.1660091840317	1236.6367698870142	1223.9755386584582	1214.615986467487	1199.0406427439625	1189.9721387790737	0.0	0.0	318.08070527199277	452.0935835350619	360.932658322768	792.0748457896832	771.1708442975674	-8.435420681321897e-05	-8.435420681321897e-05	-8.435420681321897e-05	-8.435420681321897e-05	-8.435420681321897e-05	-8.435420681321897e-05	-8.435420681321897e-05	0	0.00047481355704909374	0.0001556795359295061	-0.00014255952208308136	0.0004148994456966732	-3.563960165488554e-05	0.00017148669473714072	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	31	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1350.658887930474	1248.3880087969926	1238.287304073824	1224.8738092480273	1214.9633578633816	1198.4811425212185	1188.89036606348	0.0	0.0	274.5920152580881	474.74770528548345	349.5093781096523	752.3008867713245	818.3653840921346	-8.927371023227017e-05	-8.927371023227017e-05	-8.927371023227017e-05	-8.927371023227017e-05	-8.927371023227017e-05	-8.927371023227017e-05	-8.927371023227017e-05	0	0.0004082260258684903	0.0002320659572745386	-0.00019606812333088205	0.00038560893288487727	0.00011272340614699766	0.0001699343226855853	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	32	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1320.2514246880523	1252.9406869268416	1246.1942775790606	1237.2066016165636	1230.5449118259999	1219.425242218072	1212.9312562438045	0.0	0.0	299.290902025873	446.62701561017013	267.9678606315174	741.4670793999653	797.8303629986688	-5.93297661768656e-05	-5.93297661768656e-05	-5.93297661768656e-05	-5.93297661768656e-05	-5.93297661768656e-05	-5.93297661768656e-05	-5.93297661768656e-05	0	0.00044597628223752464	0.00017075963837046907	-0.00027677532772540925	0.000449256323516049	9.585621018519313e-05	0.00011355258048337015	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	33	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1333.8300170004145	1252.9700900128737	1244.9115726647306	1234.1891064459328	1226.2513795963782	1213.020437480687	1205.3043159957622	0.0	0.0	284.44907571051294	435.6978387701187	409.51944249795343	736.4473149193936	796.5059712396445	-7.090443414173108e-05	-7.090443414173108e-05	-7.090443414173108e-05	-7.090443414173108e-05	-7.090443414173108e-05	-7.090443414173108e-05	-7.090443414173108e-05	0	0.00042327060862788036	0.00017486168445918123	-4.106530201482118e-05	0.000314306692415665	0.00010207364075836656	0.00012273225365506995	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	34	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1398.638357795815	1232.9984243845247	1217.0668776029547	1196.030608962334	1180.5767225485015	1155.0425848231837	1140.281254407979	0.0	0.0	279.3741327081541	522.5553151842333	382.5149052741567	765.1467253605595	886.8854366501735	-0.0001429140766720138	-0.0001429140766720138	-0.0001429140766720138	-0.0001429140766720138	-0.0001429140766720138	-0.0001429140766720138	-0.0001429140766720138	0	0.00041552135317531557	0.00028340122175837725	-0.0002209743010305259	0.00036797108060275996	0.00020950619320323288	0.00013147164023316127	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	35	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1344.8054813224098	1223.7525815216209	1211.900558679789	1196.1909369399884	1184.605848154985	1165.379975652184	1154.2167240480137	0.0	0.0	409.4822918820299	417.90076622334504	357.37811178873363	781.3094708193589	917.6556313382245	-0.0001069471141797712	-0.0001069471141797712	-0.0001069471141797712	-0.0001069471141797712	-0.0001069471141797712	-0.0001069471141797712	-0.0001069471141797712	0	0.0006165771282115501	9.833202862280507e-06	-9.430090322770125e-05	0.000407367544488349	0.0002358137669164712	0.0001050325144374903	7580	7580	7580	7580	7580	7580	7580
Baden-Württemberg	36	True	[882, 973, 1095, 1186, 1339, 1429, 1736]	1	1342.017865928384	1240.9986635245182	1231.0188984904148	1217.7652385058984	1207.972310194056	1191.684465429478	1182.206161320415	0.0	0.0	384.7323956239443	444.2639654847188	384.88915607313174	795.140424362643	866.657249105064	-8.872780283702741e-05	-8.872780283702741e-05	-8.872780283702741e-05	-8.872780283702741e-05	-8.872780283702741e-05	-8.872780283702741e-05	-8.872780283702741e-05	0	0.0005779439270901076	6.954750512162144e-05	-9.299539837594444e-05	0.0003958437442869026	0.00012319913675379055	0.00014830679682688205	7580	7580	7580	7580	7580	7580	7580
